arg168808_arg168823	o8_1,o7_3,o7_4	Farquhar won the affection and respect from the people with his doings. When he was sacked, thousands of people bade him farewell on the day he left Singapore. This proves that Farquhar is very important to the people.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168831_arg168832	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Even though Raffles did all the so-called planning, Farquhar did make some plans of his own, too, since Raffles had to leave for Bencoolen. This means that Farquhar had to plan on his own, too.
arg168804_arg167722	o8_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168801_arg168779	o8_1,o6_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168818_arg168834	o8_1,o9_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Raffles doesn't care about the citizens, doesn't spare a thought at all. <br/> So what if he discovered the island majulah singapura, he did not help in the least in singapore's development. so why in the world should he deserve the title of 'singapore's founder'? <br/> Farquhar developed the island, with all his ideas contributing to the development.
arg168764_arg168832	o9_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Farquhar was the one that played the role of a 'mother' to Singapore.He contributed more to Singapore than Raffles supporting the fact that he was the founder of Singapore.
arg167722_arg168801	o8_1,o6_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168774_arg168832	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Farquhar was the one to implement the actual operations, whereas Raffles only came up with the ideas, which would or would not work. Actions require action, and Farquhar implemented those ideas.
arg168832_arg168808	o8_1,o7_3	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168786_arg168832	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	When Farquar was fired by Raffles, he was given a grander ceremony before he left compared to Raffles, which show how much the people loved him.
arg168811_arg168808	o6_1,o6_2	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168830_arg168823	o8_1,o7_1	Farquhar won the affection and respect from the people with his doings. When he was sacked, thousands of people bade him farewell on the day he left Singapore. This proves that Farquhar is very important to the people.	Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar.
arg168822_arg168812	o9_1	Raffles neglected Singapore when he went around conquering other 'more useful' countries for about FOUR years, leaving all the work to Farquhar to settle. Plus, to drive my point further, the countries that were run by Raffles all ended up BADLY. This shows that Raffles was a bad developer of the country.	Without William Farquhar Singapore would have perished. Only because William was there to govern the country, Singapore continued to exist. Raffles left to govern another country.
arg168818_arg168823	o8_1,o9_1,o9_2,o5_2	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Farquhar won the affection and respect from the people with his doings. When he was sacked, thousands of people bade him farewell on the day he left Singapore. This proves that Farquhar is very important to the people.
arg168777_arg168832	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	He invited the immigrants from Malacca to come and trade and stationed an office at St. John's Island to inform the trading ships passing by about the settlement in Singapore.
arg168818_arg168831	o8_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Even though Raffles did all the so-called planning, Farquhar did make some plans of his own, too, since Raffles had to leave for Bencoolen. This means that Farquhar had to plan on his own, too.
arg168807_arg168801	o8_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.
arg168834_arg168793	o8_1,o9_2,o6_1	Raffles doesn't care about the citizens, doesn't spare a thought at all. <br/> So what if he discovered the island majulah singapura, he did not help in the least in singapore's development. so why in the world should he deserve the title of 'singapore's founder'? <br/> Farquhar developed the island, with all his ideas contributing to the development.	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.
arg168808_arg168822	o8_1,o6_1,o7_3	Raffles neglected Singapore when he went around conquering other 'more useful' countries for about FOUR years, leaving all the work to Farquhar to settle. Plus, to drive my point further, the countries that were run by Raffles all ended up BADLY. This shows that Raffles was a bad developer of the country.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168832_arg167722	o8_1,o6_1,o7_4	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168791_arg168822	o8_1,o9_2	Raffles neglected Singapore when he went around conquering other 'more useful' countries for about FOUR years, leaving all the work to Farquhar to settle. Plus, to drive my point further, the countries that were run by Raffles all ended up BADLY. This shows that Raffles was a bad developer of the country.	There were pests like centipedes and rats all over the island. These pests hurt some people. The rats also destroyed the food supplies. Tigers were also a threat to the people here. He solved it by giving rewards were given to those people who killed these pests.
arg168832_arg168806	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168779_arg168805	o8_1	Farquar weeded out many problems, such as the rat and centipede infestation. It took only a few days for Farquar to finish destroying the infestation, whereas Raffles did not do anything about the problem at all.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168818_arg168807	o8_1,o6_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.
arg168773_arg168779	o8_1,o6_2	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168783_arg168774	o8_4,o9_4,o6_1	Farquhar was the one to implement the actual operations, whereas Raffles only came up with the ideas, which would or would not work. Actions require action, and Farquhar implemented those ideas.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168780_arg168777	o8_4,o9_2	Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today.	He invited the immigrants from Malacca to come and trade and stationed an office at St. John's Island to inform the trading ships passing by about the settlement in Singapore.
arg168818_arg168779	o8_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168832_arg168807	o8_1,o6_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.
arg168783_arg168812	o6_1,o6_3	Without William Farquhar Singapore would have perished. Only because William was there to govern the country, Singapore continued to exist. Raffles left to govern another country.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168825_arg168832	o8_1,o6_3	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	When Farquhar left Singapore, more people were there to send him off than Raffles. This shows that the people recognized Farquhar as their founder, not Raffles
arg168780_arg168808	o8_1,o7_3	Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168779_arg168812	o8_1	Without William Farquhar Singapore would have perished. Only because William was there to govern the country, Singapore continued to exist. Raffles left to govern another country.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168808_arg168773	o8_1	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168779_arg168768	o8_1	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg167722_arg168818	o8_1,o7_4	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168786_arg168801	o8_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	When Farquar was fired by Raffles, he was given a grander ceremony before he left compared to Raffles, which show how much the people loved him.
arg168832_arg168770	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	Raffles unjustly removed Farquhar from his position in Singapore and accused him of ' being too close to the local population '. I think that it is unfair that a person who contributed so much to Singapore's development be unjustly sent off like that.
arg168768_arg168776	o8_1	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.	Farquar protected Singapore from Dutch attacks and attracted traders to Singapore while Raffles was away.
arg168818_arg168806	o8_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168825_arg168780	o8_1,o6_3	Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today.	When Farquhar left Singapore, more people were there to send him off than Raffles. This shows that the people recognized Farquhar as their founder, not Raffles
arg168783_arg168768	o8_1	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168806_arg168773	o8_1	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168811_arg168832	o8_1	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.
arg168804_arg168820	o8_5,o9_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.
arg168783_arg168805	o8_1,o8_4	Farquar weeded out many problems, such as the rat and centipede infestation. It took only a few days for Farquar to finish destroying the infestation, whereas Raffles did not do anything about the problem at all.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168801_arg168764	o8_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Farquhar was the one that played the role of a 'mother' to Singapore.He contributed more to Singapore than Raffles supporting the fact that he was the founder of Singapore.
arg168792_arg168783	o8_1	Farquar dealt with every day problems during the early years of Singapore.He also attempted to know the people and understood malay, whereas Raffles hardly communicated with the people.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168820_arg168779	o8_1,o9_2,o7_1,o7_3	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168811_arg168818	o8_1,o8_4	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.
arg168804_arg168806	o9_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168818_arg168777	o8_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	He invited the immigrants from Malacca to come and trade and stationed an office at St. John's Island to inform the trading ships passing by about the settlement in Singapore.
arg168783_arg168780	o9_1,o7_2	Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168812_arg168773	o8_1,o6_1	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	Without William Farquhar Singapore would have perished. Only because William was there to govern the country, Singapore continued to exist. Raffles left to govern another country.
arg168804_arg168783	o8_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168791_arg168786	o8_1	There were pests like centipedes and rats all over the island. These pests hurt some people. The rats also destroyed the food supplies. Tigers were also a threat to the people here. He solved it by giving rewards were given to those people who killed these pests.	When Farquar was fired by Raffles, he was given a grander ceremony before he left compared to Raffles, which show how much the people loved him.
arg168818_arg168776	o8_1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Farquar protected Singapore from Dutch attacks and attracted traders to Singapore while Raffles was away.
arg168820_arg168792	o8_1	Farquar dealt with every day problems during the early years of Singapore.He also attempted to know the people and understood malay, whereas Raffles hardly communicated with the people.	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.
arg167722_arg168811	o8_1	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168808_arg168768	o8_1,o6_1,o7_3	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168801_arg168783	o9_2,o7_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Farquhar ordered his men to go to Malacca and bring some food back. The traders in Singapore also brought some of the necessities here.
arg168793_arg168773	o8_1	William Farquhar stayed in Singapore longer than Raffles, so Farquhar had more time to get to know the people more, to earn the trust of the people, to find out the problems that the people were facing and to solve those problems	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.
arg168820_arg168801	o8_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.
arg168807_arg168793	o8_1,o6_3	William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.
arg168804_arg168811	o8_1,o6_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.
arg168804_arg168779	o8_1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168818_arg168808	o7_4	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168808_arg168801	o8_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168807_arg168805	o8_1,o7_4	Farquar weeded out many problems, such as the rat and centipede infestation. It took only a few days for Farquar to finish destroying the infestation, whereas Raffles did not do anything about the problem at all.	William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.
arg167722_arg168834	o8_1	Raffles doesn't care about the citizens, doesn't spare a thought at all. <br/> So what if he discovered the island majulah singapura, he did not help in the least in singapore's development. so why in the world should he deserve the title of 'singapore's founder'? <br/> Farquhar developed the island, with all his ideas contributing to the development.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
arg168768_arg168832	o9_3	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.
arg168801_arg168830	o8_1,o8_4,o6_1	Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort.	Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar.
arg168779_arg168777	o8_1	He invited the immigrants from Malacca to come and trade and stationed an office at St. John's Island to inform the trading ships passing by about the settlement in Singapore.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168806_arg168820	o8_1	William made the initiative to understand the locals and to communicate with them. He even learnt Malay just so to make conversation easier.	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168825_arg168774	o8_1,o6_3,o7_2	Farquhar was the one to implement the actual operations, whereas Raffles only came up with the ideas, which would or would not work. Actions require action, and Farquhar implemented those ideas.	When Farquhar left Singapore, more people were there to send him off than Raffles. This shows that the people recognized Farquhar as their founder, not Raffles
arg168822_arg168811	o8_4,o5_3	Raffles neglected Singapore when he went around conquering other 'more useful' countries for about FOUR years, leaving all the work to Farquhar to settle. Plus, to drive my point further, the countries that were run by Raffles all ended up BADLY. This shows that Raffles was a bad developer of the country.	William Farquhar was removed from his position by Raffles because Farquhar had grown too close to the people. However, knowing the people well is necessary to help Farquhar solve the problems faced by the people.
arg168804_arg168830	o8_1,o8_5,o9_4	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar.
arg168823_arg168779	o8_1	Farquhar won the affection and respect from the people with his doings. When he was sacked, thousands of people bade him farewell on the day he left Singapore. This proves that Farquhar is very important to the people.	Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
arg168768_arg168830	o8_1	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.	Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar.
arg168791_arg167722	o6_1	There were pests like centipedes and rats all over the island. These pests hurt some people. The rats also destroyed the food supplies. Tigers were also a threat to the people here. He solved it by giving rewards were given to those people who killed these pests.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
